nombre,lat,lon,ciudad,departamento
Jefatura Metropolitana de la Policía Nacional,14.0996,-87.2052,Tegucigalpa,Francisco Morazán
Comisaría No. 1 - Centro Histórico,14.1012,-87.2063,Tegucigalpa,Francisco Morazán
Comisaría No. 6 - Comayagüela,14.0895,-87.2174,Comayagüela,Francisco Morazán
Comisaría No. 7 - Kennedy,14.0773,-87.2021,Tegucigalpa,Francisco Morazán
Comisaría No. 12 - El Manchén,14.1143,-87.2201,Tegucigalpa,Francisco Morazán
Comisaría No. 14 - Loarque,14.0612,-87.1743,Tegucigalpa,Francisco Morazán
Comisaría No. 2 - Barrio La Granja,14.0980,-87.1961,Tegucigalpa,Francisco Morazán
Comisaría San Pedro Sula - Centro,15.5036,-88.0256,San Pedro Sula,Cortés
Comisaría Col. Río de Piedras,15.4978,-88.0124,San Pedro Sula,Cortés
Comisaría Chamelecón,15.5243,-88.0453,San Pedro Sula,Cortés
Comisaría La Ceiba,15.7745,-86.7906,La Ceiba,Atlántida
Comisaría Tela,15.7780,-87.4560,Tela,Atlántida
Comisaría El Progreso,15.4007,-87.8014,El Progreso,Yoro
Comisaría Yoro,15.1388,-87.1433,Yoro,Yoro
Comisaría Choluteca,13.2998,-87.1917,Choluteca,Choluteca
Comisaría Nacaome,13.5212,-87.4983,Nacaome,Valle
Comisaría Comayagua,14.4490,-87.6395,Comayagua,Comayagua
Comisaría Siguatepeque,14.5980,-87.8237,Siguatepeque,Comayagua
Comisaría La Paz,14.3197,-87.6808,La Paz,La Paz,
Comisaría Santa Rosa de Copán,14.7740,-88.7811,Santa Rosa de Copán,Copán
Comisaría Copán Ruinas,14.8378,-89.1483,Copán Ruinas,Copán
Comisaría Puerto Cortés,15.8353,-87.9439,Puerto Cortés,Cortés
Comisaría Roatán,16.3208,-86.5274,Coxen Hole,Islas de la Bahía
Comisaría Juticalpa,14.6603,-86.2191,Juticalpa,Olancho
Comisaría Danlí,14.0282,-86.5726,Danlí,El Paraíso
Comisaría Trojes,14.0817,-86.1736,Trojes,El Paraíso
Comisaría Santa Bárbara,14.9208,-88.2356,Santa Bárbara,Santa Bárbara
Comisaría Gracias,14.5861,-88.5797,Gracias,Lempira
Comisaría Ocotepeque,14.4293,-89.1865,Nueva Ocotepeque,Ocotepeque
Comisaría Trujillo,15.9286,-85.9586,Trujillo,Colón
Comisaría La Entrada,15.0481,-88.7431,La Entrada,Copán
Comisaría Marcala,14.1559,-88.0049,Marcala,La Paz
Comisaría Catacamas,14.7928,-85.9028,Catacamas,Olancho
Comisaría Tocoa,15.6766,-86.0049,Tocoa,Colón
Comisaría Olanchito,15.4901,-86.5823,Olanchito,Yoro
Comisaría Talanga,14.4025,-87.0792,Talanga,Francisco Morazán
Comisaría Zamorano,13.9597,-87.0220,Zamorano,Francisco Morazán
Comisaría Choloma,15.6102,-87.9458,Choloma,Cortés
Comisaría Villanueva,15.3258,-87.9658,Villanueva,Cortés
Comisaría La Lima,15.4347,-87.9186,La Lima,Cortés
